context,query,question,code,answer
"Initially, event1 happened. After event1, event2 will happen. After event2, event1 will happen. After event3, event1 will happen.","C1: The case of that event1 happened or the case of that event2 happened, is true.
C2: The case of C1 or the case of that event3 happened, is true.","=== Context ===

Initially, event1 happened. After event1, event2 will happen. After event2, event1 will happen. After event3, event1 will happen.

=== Hypothesis ===

C1: The case of that event1 happened or the case of that event2 happened, is true.
C2: The case of C1 or the case of that event3 happened, is true.

Determine whether the case C2 is true or false (answering in ""true"" or ""false"" directly):
","MODULE main
VAR
    state : {event1, event2, event3};
ASSIGN
    init(state) := event1;
    next(state) := case
        state = event1 : event2;
		state = event2 : event1;
		state = event3 : event1;
    esac;
LTLSPEC (((state=event1) | (state=event2)) | (state=event3))
",True
"Initially, event2 happened. After event2, no other events will happen. After event1, event2 will happen. After event3, no other events will happen.","C1: event1 will always happen at any future time.
C2: The case of that event1 happened or the case of C1, is true.
C3: C2 is not true.","=== Context ===

Initially, event2 happened. After event2, no other events will happen. After event1, event2 will happen. After event3, no other events will happen.

=== Hypothesis ===

C1: event1 will always happen at any future time.
C2: The case of that event1 happened or the case of C1, is true.
C3: C2 is not true.

Determine whether the case C3 is true or false (answering in ""true"" or ""false"" directly):
","MODULE main
VAR
    state : {event1, event2, event3};
ASSIGN
    init(state) := event2;
    next(state) := case
        state = event1 : event2;
		state = event2 : event2;
		state = event3 : event3;
    esac;
LTLSPEC (! ((state=event1) | (G (state=event1))))
",True
"Initially, event2 happened. After event1, event2 will happen. After event1, event3 will happen. After event2, event1 will happen. After event3, event1 will happen.","C1: The case of that event2 happened implies the case of that event2 happened, is true.
C2: C1 will happen eventually.
C3: C2 will happen at next time.","=== Context ===

Initially, event2 happened. After event1, event2 will happen. After event1, event3 will happen. After event2, event1 will happen. After event3, event1 will happen.

=== Hypothesis ===

C1: The case of that event2 happened implies the case of that event2 happened, is true.
C2: C1 will happen eventually.
C3: C2 will happen at next time.

Determine whether the case C3 is true or false (answering in ""true"" or ""false"" directly):
","MODULE main
VAR
    state : {event1, event2, event3};
ASSIGN
    init(state) := event2;
    next(state) := case
        state = event1 : event2;
		state = event1 : event3;
		state = event2 : event1;
		state = event3 : event1;
    esac;
LTLSPEC (X (F ((state=event2) -> (state=event2))))
",True
"Initially, event2 happened. After event2, event1 will happen. After event2, event3 will happen. After event1, event2 will happen. After event1, event3 will happen. After event3, no other events will happen. After event3, no other events will happen.","C1: event1 will happen eventually.
C2: C1 is not true.
C3: The case of C2 and the case of that event1 happened, is true.","=== Context ===

Initially, event2 happened. After event2, event1 will happen. After event2, event3 will happen. After event1, event2 will happen. After event1, event3 will happen. After event3, no other events will happen. After event3, no other events will happen.

=== Hypothesis ===

C1: event1 will happen eventually.
C2: C1 is not true.
C3: The case of C2 and the case of that event1 happened, is true.

Determine whether the case C3 is true or false (answering in ""true"" or ""false"" directly):
","MODULE main
VAR
    state : {event1, event2, event3};
ASSIGN
    init(state) := event2;
    next(state) := case
        state = event1 : event2;
		state = event1 : event3;
		state = event2 : event1;
		state = event2 : event3;
		state = event3 : event3;
    esac;
LTLSPEC ((! (F (state=event1))) & (state=event1))
",False
"Initially, event3 happened. After event2, event1 will happen. After event2, event3 will happen. After event1, event3 will happen. After event3, event1 will happen. After event3, event1 will happen.","C1: The case of that event1 happened or the case of that event3 happened, is true.
C2: The case of C1 or the case of that event1 happened, is true.
C3: C2 is not true.","=== Context ===

Initially, event3 happened. After event2, event1 will happen. After event2, event3 will happen. After event1, event3 will happen. After event3, event1 will happen. After event3, event1 will happen.

=== Hypothesis ===

C1: The case of that event1 happened or the case of that event3 happened, is true.
C2: The case of C1 or the case of that event1 happened, is true.
C3: C2 is not true.

Determine whether the case C3 is true or false (answering in ""true"" or ""false"" directly):
","MODULE main
VAR
    state : {event1, event2, event3};
ASSIGN
    init(state) := event3;
    next(state) := case
        state = event1 : event3;
		state = event2 : event1;
		state = event2 : event3;
		state = event3 : event1;
    esac;
LTLSPEC (! (((state=event1) | (state=event3)) | (state=event1)))
",False
"Initially, event2 happened. After event2, event3 will happen. After event3, event1 will happen. After event1, event3 will happen.","C1: event3 will always happen at any future time.
C2: The case of that event3 happened or the case of C1, is true.","=== Context ===

Initially, event2 happened. After event2, event3 will happen. After event3, event1 will happen. After event1, event3 will happen.

=== Hypothesis ===

C1: event3 will always happen at any future time.
C2: The case of that event3 happened or the case of C1, is true.

Determine whether the case C2 is true or false (answering in ""true"" or ""false"" directly):
","MODULE main
VAR
    state : {event1, event2, event3};
ASSIGN
    init(state) := event2;
    next(state) := case
        state = event1 : event3;
		state = event2 : event3;
		state = event3 : event1;
    esac;
LTLSPEC ((state=event3) | (G (state=event3)))
",False
"Initially, event2 happened. After event3, event1 will happen. After event1, event3 will happen. After event2, event3 will happen.","C1: event2 will happen at next time.
C2: The case of C1 implies the case of that event2 happened, is true.","=== Context ===

Initially, event2 happened. After event3, event1 will happen. After event1, event3 will happen. After event2, event3 will happen.

=== Hypothesis ===

C1: event2 will happen at next time.
C2: The case of C1 implies the case of that event2 happened, is true.

Determine whether the case C2 is true or false (answering in ""true"" or ""false"" directly):
","MODULE main
VAR
    state : {event1, event2, event3};
ASSIGN
    init(state) := event2;
    next(state) := case
        state = event1 : event3;
		state = event2 : event3;
		state = event3 : event1;
    esac;
LTLSPEC ((X (state=event2)) -> (state=event2))
",True
"Initially, event1 happened. After event1, event3 will happen. After event3, event1 will happen. After event3, event2 will happen. After event2, event1 will happen. After event2, event3 will happen.","C1: The case of that event3 happened or the case of that event3 happened, is true.
C2: C1 will happen eventually.","=== Context ===

Initially, event1 happened. After event1, event3 will happen. After event3, event1 will happen. After event3, event2 will happen. After event2, event1 will happen. After event2, event3 will happen.

=== Hypothesis ===

C1: The case of that event3 happened or the case of that event3 happened, is true.
C2: C1 will happen eventually.

Determine whether the case C2 is true or false (answering in ""true"" or ""false"" directly):
","MODULE main
VAR
    state : {event1, event2, event3};
ASSIGN
    init(state) := event1;
    next(state) := case
        state = event1 : event3;
		state = event2 : event1;
		state = event2 : event3;
		state = event3 : event1;
		state = event3 : event2;
    esac;
LTLSPEC (F ((state=event3) | (state=event3)))
",True
"Initially, event2 happened. After event2, event3 will happen. After event3, no other events will happen. After event1, event2 will happen.","C1: event2 will happen eventually.
C2: C1 will happen at next time.
C3: The case of that event2 happened and the case of C2, is true.","=== Context ===

Initially, event2 happened. After event2, event3 will happen. After event3, no other events will happen. After event1, event2 will happen.

=== Hypothesis ===

C1: event2 will happen eventually.
C2: C1 will happen at next time.
C3: The case of that event2 happened and the case of C2, is true.

Determine whether the case C3 is true or false (answering in ""true"" or ""false"" directly):
","MODULE main
VAR
    state : {event1, event2, event3};
ASSIGN
    init(state) := event2;
    next(state) := case
        state = event1 : event2;
		state = event2 : event3;
		state = event3 : event3;
    esac;
LTLSPEC ((state=event2) & (X (F (state=event2))))
",False
"Initially, event3 happened. After event3, event1 will happen. After event1, no other events will happen. After event2, event1 will happen. After event2, event3 will happen.","C1: The case of that event1 happened implies the case of that event2 happened, is true.
C2: C1 will happen at next time.
C3: The case of that event2 happened or the case of C2, is true.","=== Context ===

Initially, event3 happened. After event3, event1 will happen. After event1, no other events will happen. After event2, event1 will happen. After event2, event3 will happen.

=== Hypothesis ===

C1: The case of that event1 happened implies the case of that event2 happened, is true.
C2: C1 will happen at next time.
C3: The case of that event2 happened or the case of C2, is true.

Determine whether the case C3 is true or false (answering in ""true"" or ""false"" directly):
","MODULE main
VAR
    state : {event1, event2, event3};
ASSIGN
    init(state) := event3;
    next(state) := case
        state = event2 : event1;
		state = event2 : event3;
		state = event3 : event1;
		state = event1 : event1;
    esac;
LTLSPEC ((state=event2) | (X ((state=event1) -> (state=event2))))
",False
